native cold fixture load + shape: 3.139 ms
lifecycle: mounted; scale_factor=2
native fixture path conversion + tessellation + submission: 4.354 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.807 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.525 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.622 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.500 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.506 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.465 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.492 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.436 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 5.415 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.607 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.619 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.580 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.619 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.575 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.604 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.606 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.607 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.587 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
native fixture path conversion + tessellation + submission: 3.597 ms; canvas=1168x697 logical px; figure_width=1045.50; device_scale=2
